timestep,raw_value,voltage_V,tds_ppm
855,94,0.459,199.6
856,94,0.459,199.6
857,94,0.459,199.6
858,93,0.454,197.4
859,94,0.459,199.6
860,94,0.459,199.6
861,94,0.459,199.6
862,94,0.459,199.6
863,94,0.459,199.6
864,93,0.454,197.4
865,94,0.459,199.6
866,93,0.454,197.4
867,94,0.459,199.6
868,93,0.454,197.4
869,94,0.459,199.6
870,94,0.459,199.6
871,93,0.454,197.4
872,94,0.459,199.6
873,94,0.459,199.6
874,94,0.459,199.6
875,93,0.454,197.4
876,93,0.454,197.4
877,94,0.459,199.6
878,94,0.459,199.6
879,94,0.459,199.6
880,93,0.454,197.4
881,94,0.459,199.6
882,94,0.459,199.6
883,94,0.459,199.6
884,94,0.459,199.6
885,94,0.459,199.6
886,93,0.454,197.4
887,94,0.459,199.6
888,93,0.454,197.4
889,93,0.454,197.4
890,94,0.459,199.6
891,94,0.459,199.6
892,93,0.454,197.4
893,93,0.454,197.4
894,93,0.454,197.4
895,94,0.459,199.6
896,93,0.454,197.4
897,94,0.459,199.6
898,94,0.459,199.6
899,94,0.459,199.6
900,94,0.459,199.6
901,94,0.459,199.6
902,93,0.454,197.4
903,94,0.459,199.6
904,94,0.459,199.6
905,94,0.459,199.6
906,93,0.454,197.4
907,93,0.454,197.4
908,93,0.454,197.4
909,93,0.454,197.4
910,93,0.454,197.4
911,94,0.459,199.6
912,94,0.459,199.6
913,94,0.459,199.6
914,94,0.459,199.6
915,94,0.459,199.6
916,94,0.459,199.6
917,94,0.459,199.6
918,94,0.459,199.6
919,94,0.459,199.6
920,94,0.459,199.6
921,94,0.459,199.6
922,94,0.459,199.6
923,94,0.459,199.6
924,94,0.459,199.6
925,94,0.459,199.6
926,94,0.459,199.6
927,94,0.459,199.6
928,94,0.459,199.6
929,94,0.459,199.6
930,94,0.459,199.6
931,94,0.459,199.6
932,94,0.459,199.6
933,94,0.459,199.6
934,94,0.459,199.6
935,93,0.454,197.4
936,93,0.454,197.4
937,93,0.454,197.4
938,94,0.459,199.6
939,93,0.454,197.4
940,94,0.459,199.6
941,94,0.459,199.6
942,94,0.459,199.6
943,94,0.459,199.6
944,93,0.454,197.4
945,93,0.454,197.4
946,94,0.459,199.6
947,93,0.454,197.4
948,94,0.459,199.6
949,94,0.459,199.6
950,94,0.459,199.6
951,94,0.459,199.6
952,94,0.459,199.6
953,93,0.454,197.4
954,94,0.459,199.6
955,94,0.459,199.6
956,93,0.454,197.4
957,94,0.459,199.6
958,94,0.459,199.6
959,94,0.459,199.6
960,94,0.459,199.6
961,93,0.454,197.4
962,93,0.454,197.4
963,93,0.454,197.4
964,94,0.459,199.6
965,93,0.454,197.4
966,93,0.454,197.4
967,94,0.459,199.6
968,94,0.459,199.6
969,94,0.459,199.6
970,94,0.459,199.6
971,94,0.459,199.6
972,93,0.454,197.4
973,94,0.459,199.6
974,94,0.459,199.6
975,94,0.459,199.6
976,93,0.454,197.4
977,93,0.454,197.4
978,94,0.459,199.6
979,94,0.459,199.6
980,93,0.454,197.4
981,94,0.459,199.6
982,94,0.459,199.6
983,94,0.459,199.6
984,93,0.454,197.4
985,93,0.454,197.4
986,94,0.459,199.6
987,93,0.454,197.4
